Iteration;X;Y;Action;
0;47;28;movefw;
1;47;29;movefw;
2;47;30;movefw;
3;47;31;movefw;
4;47;32;movefw;
5;47;33;movefw;
6;47;34;movefw;
7;47;35;movefw;
8;47;36;movefw;
9;47;37;movefw;
10;47;36;movebw;
11;47;37;movefw;
12;47;36;movebw;
13;47;37;movefw;
14;47;36;movebw;
15;47;37;movefw;
16;47;36;movebw;
17;47;37;movefw;
18;47;36;movebw;
19;47;37;movefw;
20;47;36;movebw;
21;47;35;movebw;
22;47;34;movebw;
23;47;33;movebw;
24;47;32;movebw;
25;47;31;movebw;
26;47;30;movebw;
27;47;29;movebw;
28;47;28;movebw;
29;47;27;movebw;
30;47;26;movebw;
31;47;25;movebw;
32;47;24;movebw;
33;47;23;movebw;
34;47;22;movebw;
35;47;21;movebw;
36;47;20;movebw;
37;47;19;movebw;
38;47;18;movebw;
39;47;19;movefw;
40;47;18;movebw;
41;47;19;movefw;
42;47;18;movebw;
43;47;19;movefw;
44;47;18;movebw;
45;47;19;movefw;
46;47;18;movebw;
47;47;19;movefw;
48;47;20;movefw;
49;47;21;movefw;
50;47;22;movefw;
51;47;23;movefw;
52;47;24;movefw;
53;47;25;movefw;
54;47;26;movefw;
55;47;27;movefw;
56;47;28;movefw;
57;47;29;movefw;
58;47;30;movefw;
59;47;31;movefw;
60;47;32;movefw;
61;47;33;movefw;
62;47;34;movefw;
63;47;35;movefw;
64;47;36;movefw;
65;47;37;movefw;
66;47;36;movebw;
67;47;37;movefw;
68;47;36;movebw;
69;47;37;movefw;
70;47;36;movebw;
71;47;37;movefw;
72;47;36;movebw;
73;47;37;movefw;
74;47;36;movebw;
75;47;37;movefw;
76;47;36;movebw;
77;47;37;movefw;
78;47;36;movebw;
79;47;37;movefw;
80;47;36;movebw;
81;47;37;movefw;
82;47;36;movebw;
83;47;37;movefw;
84;47;36;movebw;
85;47;37;movefw;
86;47;36;movebw;
87;47;35;movebw;
88;47;34;movebw;
89;47;33;movebw;
90;47;32;movebw;
91;47;31;movebw;
92;47;30;movebw;
93;47;29;movebw;
94;47;28;movebw;
95;47;27;movebw;
96;47;26;movebw;
97;47;25;movebw;
98;47;24;movebw;
99;47;23;movebw;
100;47;22;movebw;
101;47;21;movebw;
102;47;20;movebw;
103;47;19;movebw;
104;47;18;movebw;
105;47;17;shoot;
106;47;18;turnright;
107;47;18;turnright;
108;47;18;turnright;
109;47;18;turnright;
110;47;18;turnright;
111;47;18;turnright;
112;47;18;turnright;
113;47;18;turnright;
114;47;18;turnright;
115;46,2928932188135;17,2928932188135;shoot;
116;47;18;turnright;
117;47;18;turnright;
118;47;18;turnright;
119;47;18;turnright;
120;47;18;turnright;
121;47;18;turnright;
122;47;18;turnright;
123;47;18;turnright;
124;47;18;turnright;
125;46;18;movebw;
126;45;18;movebw;
127;45;18;shoot;
128;44;18;movebw;
129;43;18;movebw;
130;42;18;movebw;
131;41;18;movebw;
132;42;18;movefw;
133;41;18;movebw;
134;42;18;movefw;
135;41;18;movebw;
136;42;18;movefw;
137;42;18;shoot;
138;41;18;movebw;
139;42;18;movefw;
140;41;18;movebw;
141;42;18;movefw;
142;41;18;movebw;
143;42;18;movefw;
144;41;18;movebw;
145;42;18;movefw;
146;41;18;movebw;
147;41;18;shoot;
148;42;18;movefw;
149;41;18;movebw;
150;41;18;turnright;
151;41;18;turnright;
152;41;18;turnright;
153;41;18;turnright;
154;41;18;turnright;
155;41;18;turnright;
156;41;18;turnright;
157;41;18;turnright;
158;41;18;turnright;
159;41;18;turnright;
160;41,6427876096865;17,233955556881;movefw;
161;42,2855752193731;16,467911113762;movefw;
